Wall time,Step,Value
1775189482.9993227,0,285.0
1775189717.659287,100000,119.0
1775189966.2305233,200000,149.0
1775190221.9170125,300000,213.5
1775190469.7137923,400000,83.0
1775190721.341439,500000,122.5
1775190974.9773586,600000,98.5
1775191232.4003808,700000,96.5
1775191493.3758402,800000,132.0
1775191756.597453,900000,86.5
1775192026.9187036,1000000,67.5
1775192298.342946,1100000,136.5
1775192567.9541783,1200000,99.0
1775192842.3695438,1300000,271.0
1775193109.3515203,1400000,136.81817626953125
1775193372.9940221,1500000,127.0
1775193661.4452167,1600000,182.0
1775193948.0409658,1700000,159.0
1775194233.0087745,1800000,209.0
1775194517.0447152,1900000,111.0
1775194797.1296182,2000000,352.0
1775195041.1828475,2100000,166.0
1775195280.7171993,2200000,185.5
1775195514.4223166,2300000,201.0
1775195752.7376425,2400000,188.0
1775195994.3855062,2500000,150.5
1775196269.03634,2600000,171.5
1775196558.4795747,2700000,325.5
1775196849.7111552,2800000,250.5
1775197136.3296955,2900000,213.0
1775197396.3234448,3000000,153.0
1775197642.998741,3100000,181.5
1775197918.582899,3200000,206.0
1775198195.537179,3300000,287.5
1775198474.783033,3400000,179.0
1775198757.9237008,3500000,306.0
1775199037.593087,3600000,155.5
1775199319.3902628,3700000,263.0
1775199595.000465,3800000,158.0
1775199878.437082,3900000,165.5
1775200158.1953082,4000000,318.5
1775200431.1095169,4100000,358.0
1775200696.5641484,4200000,190.5
1775200953.2735693,4300000,324.0
1775201216.565134,4400000,280.0
1775201477.1602395,4500000,293.5
1775201734.6709802,4600000,289.5
1775201999.9493577,4700000,414.0
1775202258.6310666,4800000,289.0
1775202511.1830997,4900000,303.0
1775202776.8888535,5000000,340.0
1775203012.0423286,5100000,400.5
1775203235.492398,5200000,357.0
1775204559.6939464,5300000,303.0
1775204822.0972342,5400000,329.5
1775205064.2710173,5500000,529.5
1775205297.3556929,5600000,270.0
1775205525.4909074,5700000,221.0
1775205756.3620222,5800000,353.5
1775205983.5188506,5900000,218.5
1775206221.6245806,6000000,365.0
1775206459.6921837,6100000,330.0
1775206689.427071,6200000,411.0
1775206919.3503656,6300000,488.5
1775207167.3502882,6400000,275.5
1775207435.613303,6500000,404.0
1775207723.1853383,6600000,421.3636474609375
1775208005.4640079,6700000,282.0
1775208229.7641208,6800000,218.5
1775208450.6229217,6900000,317.5
1775208669.0829477,7000000,341.0
1775208886.7014256,7100000,193.5
1775209108.7346647,7200000,368.5
1775209329.4615767,7300000,349.5
1775209547.1327593,7400000,243.5
1775209764.5901403,7500000,233.5
1775209984.2219772,7600000,343.0
1775210201.3948462,7700000,235.0
1775210418.853558,7800000,242.5
1775210637.173936,7900000,268.5
1775210856.5491703,8000000,181.0
1775211080.2723079,8100000,383.5
1775211300.0247507,8200000,209.5
1775211523.8003116,8300000,407.0
1775211748.947333,8400000,524.0
1775211969.793355,8500000,339.5
1775212190.0453458,8600000,293.5
1775212410.9707844,8700000,412.5
1775212630.333023,8800000,343.5
1775212849.6635118,8900000,396.0
1775213069.328334,9000000,379.5
1775213288.0255194,9100000,369.0
1775213509.0158632,9200000,325.0
1775213729.6584678,9300000,361.5
1775213949.6509485,9400000,406.5
1775214171.7234557,9500000,419.5
1775214391.5997212,9600000,347.0
1775214612.2142203,9700000,381.0
1775214831.7003927,9800000,318.5
1775215056.6929243,9900000,404.5
1775215280.8919728,10000000,709.0
1775215498.3111768,10100000,262.0
1775215719.1718657,10200000,457.0
1775215940.391484,10300000,415.5
1775216162.7340875,10400000,456.5
1775216383.5346725,10500000,376.5
1775216610.161029,10600000,391.5
1775216836.9952238,10700000,473.5
1775217064.7145236,10800000,501.0
1775217286.7323205,10900000,315.5
1775217504.431873,11000000,299.5
1775217723.382279,11100000,317.5
1775217944.2210438,11200000,452.5
1775218166.5259454,11300000,565.0
1775218387.1513188,11400000,378.0
1775218614.1621578,11500000,566.0
1775218835.9729426,11600000,467.0
1775219056.5301867,11700000,497.0
1775219276.2841558,11800000,403.6363525390625
1775219497.1888123,11900000,485.0
1775219718.7302892,12000000,509.5
1775219940.4471154,12100000,619.0
1775220161.161937,12200000,494.5
1775220388.7804036,12300000,562.0
1775220614.2735548,12400000,405.0
1775220837.5979981,12500000,320.0
1775221058.394852,12600000,419.0
1775221292.175461,12700000,641.5
1775221516.0630217,12800000,474.5
1775221739.3286557,12900000,493.0
1775221960.8207364,13000000,500.0
1775222178.4440248,13100000,334.0
1775222400.5400233,13200000,502.5
1775222621.8950758,13300000,481.0
1775222841.1851106,13400000,332.5
1775223063.127462,13500000,523.0
1775223287.8175688,13600000,504.0
1775223509.4768612,13700000,552.0
1775223730.0876975,13800000,588.0
1775223949.211071,13900000,438.5
1775224173.6008713,14000000,438.5
1775224398.258239,14100000,590.0
1775224625.5037854,14200000,588.5
1775224846.59861,14300000,453.5
1775225065.817525,14400000,464.0
1775225287.49861,14500000,570.0
1775225509.0160701,14600000,584.0
1775225735.07719,14700000,550.0
1775225952.067231,14800000,315.4545593261719
1775226173.1806602,14900000,482.5
1775226394.9175968,15000000,558.6363525390625
1775226611.750753,15100000,334.0
1775226831.0044992,15200000,456.0
1775227051.9939878,15300000,605.5
1775227275.7771623,15400000,596.0
1775227497.767232,15500000,576.0
1775227721.2066875,15600000,613.0
1775227944.4985025,15700000,567.0
1775228167.8588564,15800000,569.0
1775228393.0957732,15900000,512.0
1775228612.3082943,16000000,514.0
1775228832.2336342,16100000,725.5
1775229051.9023838,16200000,550.0
1775229269.9358559,16300000,510.5
1775229490.680129,16400000,593.0
1775229712.8754218,16500000,594.0
1775229932.0220404,16600000,497.0
1775230154.233404,16700000,725.0
1775230380.352603,16800000,571.0
1775230607.8152792,16900000,481.0
1775230834.9663906,17000000,606.0
1775231059.3167934,17100000,618.0
1775231281.347267,17200000,486.5
1775231504.1290631,17300000,702.5
1775231725.8956182,17400000,708.0
1775231946.643489,17500000,721.5
1775232170.9893398,17600000,610.5
1775232392.138299,17700000,723.5
1775232612.7449787,17800000,612.0
1775232834.2789934,17900000,615.5
1775233054.4911494,18000000,672.0
1775233274.7088008,18100000,577.5
1775233494.4337966,18200000,584.0
1775233715.8093379,18300000,697.0
1775233939.000732,18400000,686.0
1775234161.8314385,18500000,586.5
1775234387.9308531,18600000,792.0
1775234614.8477602,18700000,733.5
1775234838.2334623,18800000,517.5
1775235062.294515,18900000,947.0
1775235284.5493598,19000000,668.5
1775235504.5494354,19100000,566.0
1775235727.1961207,19200000,685.5
1775235944.8949602,19300000,614.0
1775236163.2230349,19400000,588.0
1775236384.5074654,19500000,699.0
1775236604.5653496,19600000,710.0
1775236824.4528408,19700000,637.5
1775237047.216141,19800000,576.0
1775237277.7289095,19900000,865.0
